,op,device,diff_mean,base_ratio,diff_norm_L1,diff_norm_L2,diff_ratio_L1,diff_ratio_L2,mean
0,exp,gpu,0.0,0.0,0.0,0.0,0.0,0.0,1.7182763814926147
1,exp,tpu,2.441482592985267e-06,1.4208904985935078e-06,0.1600048691034317,0.0006267343997024,1.4208914080882096e-06,1.4242082215787377e-06,1.718274712562561
2,softmax,gpu,0.0,0.0,0.0,0.0,0.0,0.0,0.0039062497671693563
3,softmax,tpu,3.9365684045833405e-09,1.0077616252601729e-06,0.00025798703427426517,1.0113102462128154e-06,1.0077613978864974e-06,1.0108982451129123e-06,0.0039062497671693563
4,GeLU,gpu,0.0,0.0,0.0,0.0,0.0,0.0,0.3709862530231476
5,GeLU,tpu,1.076169731106802e-08,2.9008345947545422e-08,0.0007052778964862227,2.805246595016797e-06,2.900835305297278e-08,2.947265009822786e-08,0.3709862530231476
6,tanh,gpu,0.0,0.0,0.0,0.0,0.0,0.0,0.4337884485721588
7,tanh,tpu,5.1802362577291206e-06,1.1941849152208306e-05,0.33949148654937744,0.0013310702051967382,1.1941797311010305e-05,1.1970349987677764e-05,0.43379074335098267
8,sigmoid,gpu,0.0,0.0,0.0,0.0,0.0,0.0,0.6201158165931702
9,sigmoid,tpu,2.205724740633741e-06,3.5569560168369208e-06,0.1445537507534027,0.0005679514142684639,3.556944875526824e-06,3.577448978830944e-06,0.6201167106628418
10,swish,gpu,0.0,0.0,0.0,0.0,0.0,0.0,0.3294433653354645
11,swish,tpu,1.4603929230361246e-06,4.432910372997867e-06,0.09570849686861038,0.00037657786742784083,4.432895366335288e-06,4.455898306332529e-06,0.32944396138191223
